Year,Municipality,Crop,Mean_Yield,GP_Pred,Residual,Abs_Error
2009,GILBERT PLAINS,BARLEY,1.59,1.143271244285481,0.446728755714519,0.446728755714519
2009,GILBERT PLAINS,RED SPRING WHEAT,1.18318965691527,0.9183238342730228,0.26486582264224723,0.26486582264224723
2009,GLENBORO-SOUTH CYPRESS,ARGENTINE CANOLA,1.084293307086614,0.3337235471289559,0.7505697599576582,0.7505697599576582
2009,GLENBORO-SOUTH CYPRESS,BARLEY,1.914,0.8694157226619432,1.0445842773380567,1.0445842773380567
2009,GLENBORO-SOUTH CYPRESS,OATS,1.8154176334106729,0.836117669913981,0.9792999634966919,0.9792999634966919
2009,GLENBORO-SOUTH CYPRESS,PROC POTATOES-IRRIG,12.78,8.573445669171287,4.2065543308287126,4.2065543308287126
2009,GLENBORO-SOUTH CYPRESS,RED SPRING WHEAT,1.48722690916016,0.6378460445877299,0.8493808645724301,0.8493808645724301
2009,GLENELLA-LANSDOWNE,ALFALFA/GRASS MIX.,1.1933025697886772,0.8374296201375369,0.35587294965114036,0.35587294965114036
2009,GLENELLA-LANSDOWNE,ARGENTINE CANOLA,0.9633676262097024,0.09143819630010785,0.8719294299095945,0.8719294299095945
2009,GLENELLA-LANSDOWNE,BARLEY,1.600411875335841,0.62944319530954,0.970968680026301,0.970968680026301
2009,GLENELLA-LANSDOWNE,RED SPRING WHEAT,1.33617728,0.40462145731391985,0.9315558226860802,0.9315558226860802
2009,GRAHAMDALE,ALFALFA,1.83,1.0940972345500768,0.7359027654499233,0.7359027654499233
2009,GRAHAMDALE,ALFALFA/GRASS MIX.,1.0386802973977691,0.8793161592878153,0.15936413810995387,0.15936413810995387
2009,GRANDVIEW,ALFALFA/GRASS MIX.,0.6944801078894134,1.2415521787598873,-0.5470720708704739,0.5470720708704739
2009,GRANDVIEW,ARGENTINE CANOLA,0.9998967457157696,0.5316795932815837,0.46821715243418593,0.46821715243418593
2009,GRANDVIEW,BARLEY,1.747,1.1221943732632216,0.6248056267367785,0.6248056267367785
2009,GRANDVIEW,RED SPRING WHEAT,1.250431220159719,0.9018568110828141,0.34857440907690485,0.34857440907690485
2009,GREY,ARGENTINE CANOLA,0.8594806426053933,0.20882193107659952,0.6506587115287937,0.6506587115287937
2009,GREY,BARLEY,1.776649083088069,0.7496848738065149,1.026964209281554,1.026964209281554
2009,GREY,FLAX,0.5298461538461539,-0.05956674444477006,0.5894128982909239,0.5894128982909239
2009,GREY,GRAIN CORN,1.7176093579978238,1.1842615001863182,0.5333478578115056,0.5333478578115056
2009,GREY,OATS,1.9138423827720012,0.7366517959457987,1.1771905868262027,1.1771905868262027
2009,GREY,RED SPRING WHEAT,1.5179849728954082,0.5314708857616092,0.9865140871337991,0.9865140871337991
2009,HAMIOTA,ARGENTINE CANOLA,1.0792500650146748,0.3253043848325152,0.7539456801821596,0.7539456801821596
2009,HAMIOTA,BARLEY,1.722746847355543,0.8905373156574165,0.8322095316981265,0.8322095316981265
2009,HAMIOTA,FLAX,0.8013165829145729,0.0789070292114511,0.7224095537031218,0.7224095537031218
2009,HAMIOTA,RED SPRING WHEAT,1.4680670220326937,0.6512191718283062,0.8168478502043874,0.8168478502043874
2009,HANOVER,ARGENTINE CANOLA,0.771270494360986,0.2676436539596263,0.5036268404013597,0.5036268404013597
2009,HANOVER,BARLEY,1.326,0.8113254312555758,0.5146745687444243,0.5146745687444243
2009,HANOVER,OATS,1.1854660564454615,0.8105445481844727,0.3749215082609888,0.3749215082609888
2009,HANOVER,RED SPRING WHEAT,1.22315531496063,0.5876498575986567,0.6355054573619733,0.6355054573619733
2009,HARRISON PARK,ARGENTINE CANOLA,0.8855250659630607,0.22839001491034883,0.6571350510527119,0.6571350510527119
2009,HARRISON PARK,BARLEY,1.4154230769230771,0.7754941582119326,0.6399289187111445,0.6399289187111445
2009,HARRISON PARK,FLAX,0.6994644930772667,-0.021105901110967773,0.7205703941882344,0.7205703941882344
